f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,target
30.318,32.6,61.122,49.747,47.198,38.032,44.748,64.963,51.475,61.522,29.2,33.155,38.822,73.437,31.893,55,61.574,21.245,53.819,64.959,145.24566
45.689,23.495,34.299,49.491,71.953,41.848,64.967,62.782,49.866,40.264,57.773,39.086,63.906,73.136,58.387,38.118,56.741,47.864,74.29,66.926,149.6702
13.994,32.924,38.846,77.555,56.151,22.335,47.172,61.915,51.443,61.663,48.93,35.012,28.096,66.698,34.982,47.935,75.729,27.163,56.818,60.377,140.20748
26.502,47.596,55.51,46.336,36.115,40.787,29.115,57.575,62.667,65.061,57.704,41.652,49.696,71.378,26.943,47.962,53.818,19.777,42.865,57.322,142.15354
40.51,65.813,61.831,48.624,47.911,39.884,42.256,59.71,47.196,63.195,42.027,57.115,58.44,73.291,41.263,42.059,39.172,35.272,49.603,43.421,145.84972
22.844,44.454,32.601,52.617,62.149,46.998,47.006,57.993,57.605,53.396,56.51,25.865,26.672,75.503,52.118,39.465,53.636,43.597,68.334,46.983,148.33206
32.123,49.597,35.772,36.181,57.74,52.443,65.934,44.955,50.78,30.251,49.899,48.867,41.146,19.787,74.645,65.804,69.916,52.897,34.649,60.211,145.04602
28.771,33.02,51.605,58.104,65.64,41.158,46.085,43.836,69.129,53.954,67.6,31.438,50.225,61.933,47.672,49.064,67.119,34.573,50.543,61.873,148.18922
42.48,37.126,46.471,64.227,45.126,48.626,52.571,63.94,57.335,68.597,46.666,55.893,48.888,74.109,45.863,36.453,40.845,29.145,60.829,58.363,148.0011
58.85,31.008,52.009,35.374,81.201,86.9,57.305,52.918,62.024,45.351,38.341,52.745,64.581,47.934,65.593,45.349,67.275,70.273,40.736,60.907,157.43792
47.59,44.949,48.249,27.447,59.91,46.522,46.876,59.958,45.522,42.366,51.849,31.7,62.167,32.36,71.679,51.84,56.533,58.979,46.863,50.269,151.16356
29.677,47.845,53.276,63.177,44.351,27.316,63.495,63.466,41.423,44.106,44.519,67.843,40.114,72.245,53.945,35.337,39.664,43.446,60.518,36.176,152.3189
48.407,55.825,58.922,27.844,57.455,61.045,68.964,59.037,57.03,43.628,46.299,63.754,71.016,54.67,69.707,40.771,31.471,55.143,47.664,43.332,150.34494
48.508,50.607,54.027,47.827,63.003,56.122,51.573,64.171,52.983,34.051,46.767,47.335,51.441,77.444,51.772,42.087,43.839,43.382,72.442,31.87,155.6665
53.983,52.794,64.722,47.047,26.616,38.228,39.489,45.018,44.298,41.987,48.261,43.375,33.752,31.296,70.735,29.1,44.33,51.758,68.52,39.183,153.22236
52.465,48.383,39.538,40.93,61.222,51.594,66.417,61.812,55.795,26.021,61.277,51.953,54.061,50.246,66.259,38.715,42.236,64.595,60.341,38.589,144.93926
68.434,45.148,63.698,63.555,53.341,37.914,51.916,55.568,40.866,39.714,45.145,51.826,65.158,50.8,62.32,37.224,50.859,52.632,60.56,52.442,167.57974
39.853,60.395,68.637,32.944,33.237,68.5,34.98,78.376,44.092,62.213,26.25,60.748,61.291,48.785,62.947,23.042,18.232,50.992,61.708,37.654,146.35562
31.985,36.053,32.793,39.953,68.456,58.832,67.389,49.789,78.548,39.062,52.267,39.609,45.413,39.668,58.477,62.624,64.979,39.356,29.466,63.954,157.21316
83.882,33.172,47.518,57.291,58.863,27.872,61.918,43.634,30.336,56.843,55.918,49.7,40.004,59.285,42.17,60.723,75.969,52.383,57.77,66.961,160.6176
54.924,40.465,62.361,46.774,62.791,52.245,48.009,66.015,54.133,31.507,41.527,43.24,48.335,68.163,38.84,32.717,36.664,55.094,77.912,37.91,152.09278
33.862,64.098,43.48,61.809,42.358,42.423,31.371,48.999,41.269,77.874,59.509,45.482,22.405,62.765,36.177,46.072,63.944,52.337,53.313,43.206,145.0784
20.388,29.894,29.517,55.835,64.775,46.749,51.129,65.01,69.687,57.248,65.026,26.131,32.617,76.479,40.466,41.987,59.175,36.006,63.549,59.025,147.35726
61.548,56.874,55.562,44.162,39.949,57.158,56.486,52.154,45.231,25.983,55.533,58.197,51.843,26.924,83.353,51.145,45.733,57.77,53.055,36.754,158.93382
32.625,59.233,72.443,63.85,31.29,31.301,38.907,36.014,38.627,51.967,35.673,59.391,36.341,52.075,45.498,54.855,64.997,31.554,51.222,40,151.26934
37.475,57.678,29.073,48.985,34.091,26.706,71.738,52.293,44.389,48.367,48.532,63.151,37.178,61.797,52.076,64.897,56.8,29.198,48.8,38.363,157.697
43.458,47.497,65.815,38.585,57.023,47.773,44.488,61.758,41.243,31.671,41.814,40.865,55.91,58.126,47.178,38.266,46.793,43.88,65.437,53.208,144.91954
43.341,42.741,34.958,44.523,44.146,42.679,50.031,42.068,56.83,40.796,68.93,53.17,44.04,40.669,58.179,48.972,72.026,50.185,34.188,46.684,149.21586
75.42,54.568,41.462,35.952,65.319,59.109,68.392,55.291,33.641,49.311,39.712,46.844,44.575,20.149,63.438,61.487,67.081,70.831,49.727,51.833,145.9192
75.151,49.376,46.439,36.709,56.9,62.473,69.139,43.253,46.426,47.135,41.828,41.724,54.739,27.437,75.76,37.793,49.296,71.756,64.525,48.656,146.34756
26.014,39.153,48.516,52.076,57.681,28.901,40.807,69.342,49.557,61.34,47.389,23.548,49.472,77.236,26.648,58.749,62.736,22.946,60.005,64.238,150.1759
49.034,50.37,31.462,48.85,47.116,37.836,62.89,51.117,55.704,48.024,64.02,50.837,31.718,39.565,46.682,50.885,51.53,58.465,52.968,61.617,140.05508
51.198,41,17.697,51.071,63.663,55.61,73.439,52.443,59.74,41.962,60.156,75.801,47.266,55.09,65.375,49,45.78,55.058,41.352,41.143,145.07794
42.191,35.441,55.999,49.637,60.889,51.627,54.149,73.089,47.713,29.073,36.522,42.542,47.164,61.21,57.785,47.551,51.337,35.553,63.015,40.619,145.57852
58.525,32.44,39.268,43.143,51.736,50.892,59.198,53.574,52.544,48.561,57.695,62.075,41.186,45.013,51.121,52.853,47.534,54.626,56.482,60.081,155.91948
49.597,53.601,55.319,32.231,52.888,69.942,62.641,56.274,61.567,45.166,46.009,57.892,53.013,42.375,67.588,33.782,48.303,72.663,46.207,35.79,156.26472
44.001,37.737,31.479,52.638,60.451,41.192,62.283,73.098,55.594,46.544,71.482,51.009,50.273,75.963,47.42,45.949,44.95,40.222,62.488,44.321,157.01598
59.826,53.535,61.82,39.626,35.46,49.395,45.904,48.448,42.431,49.433,47.883,61.083,55.764,43.243,52.217,41.703,41.972,37.446,59.812,31.705,150.71318
62.735,48.692,37.475,54.391,46.508,35.87,67.75,44.251,36.731,14.688,74.539,64.849,31.307,20.542,63.87,57.527,67.808,67.752,52.21,39.643,148.81328
43.043,46.804,51.359,43.987,48.798,49.843,40.749,52.218,47.923,48.566,53.901,35.315,50.421,52.642,49.226,58.27,62.879,30.595,50.399,58.139,149.6047
38.072,47.669,62.632,34.056,69.195,62.684,55.842,66.292,54.169,38.573,25.885,52.274,75.968,59.367,54.502,51.09,41.826,49.382,47.419,42.787,151.25072
55.748,21.779,27.191,48.616,57.307,63.002,55.52,38.115,62.058,51.968,44.572,51.037,49.786,41.676,66.454,69.53,71.769,37.615,37.176,61.946,147.42466
40.009,33.853,34.203,44.221,64.916,71.099,56.126,65.518,78.543,32.182,66.542,41.534,56.558,43.198,55.098,61.153,54.698,57.821,38.368,61.503,154.63002
54.534,57.879,34.236,35.084,32.78,30.199,62.64,64.195,46.331,57.573,67.818,63.458,46.046,46.642,47.863,31.046,30.032,53.636,58.994,53.372,151.81068
66.022,28.264,29.265,59.239,60.866,50.693,55.512,68.178,55.803,62.616,42.979,48.754,41.353,71.996,50.241,51.84,46.774,48.244,71.027,45.325,155.39968
24.825,45.94,51.637,48.128,55.626,33.867,45,54.141,58.752,35.265,52.27,39.347,44.901,54.237,49.215,32.316,47.595,46.223,64.765,53.83,140.38878
46.556,58.685,66.46,56.101,56.082,46.696,61.057,47.312,41.745,42.537,51.935,36.53,42.525,32.951,54.588,43.87,71.11,68.548,60.646,55.491,143.2306
35.4,33.115,65.123,57.264,45.332,43.737,30.468,47.043,61.12,57.346,48.849,36.315,57.792,49.006,41.09,49.898,66.32,25.487,46.078,50.451,150.29946
36.31,40.911,59.114,47.207,60.13,53.447,67.684,61.331,63.761,42.066,38.41,55.728,51.963,55.732,55.221,41.691,41.114,55.4,58.619,50.007,156.3544
36.633,56.074,42.732,47.482,59.47,58.6,52.788,64.636,43.009,37.251,44.568,48.52,28.622,42.864,77.518,38.375,47.053,62.648,68.417,41.362,155.28212
33.563,33.258,36.554,50.464,42.463,50.933,47.079,62.584,52.821,56.114,54.375,46.921,36.164,50.016,55.593,37.854,58.526,34.231,50.616,47.312,151.56866
32.934,59.064,53.062,34.795,46.235,39.814,48.34,54.296,42.664,34.409,40.484,33.237,31.968,30.776,57.994,41.685,53.206,38.962,58.693,46.334,143.32148
51.785,52.724,30.517,30.424,27.357,50.541,58.076,52.892,52.136,48.071,71.551,56.937,34.129,34.659,77.967,29.806,35.791,57.688,64.09,41.013,151.99654
51.576,45.099,46.256,51.432,72.818,62.107,61.195,50.79,53.221,37.472,46.608,51.95,48.556,67.227,47.539,52.353,63.369,54.211,60.631,40.466,154.47272
42.757,50.009,61.003,56.225,45.863,47.797,19.281,44.697,45.621,71.954,35.8,31.783,19.212,72.172,28.89,26.58,59.283,37.913,75.599,40.982,143.28174
36.039,40.719,43.028,41.666,59.2,35.718,45.757,50.467,41.885,35.18,61.944,40.012,44.431,43.053,46.746,50.784,62.729,36.766,61.997,53.733,150.76198
68.535,41.533,39.44,30.894,56.454,56.134,52.626,59.907,50.656,35.038,57.659,64.888,54.284,51.132,48.999,58.688,57.101,73.065,46.332,34.358,144.29136
78.41,40.778,42.309,56.595,48.943,29.25,78.266,52.489,46.475,67.794,57.968,55.254,47.742,46.752,43.563,66.384,61.501,50.965,52.125,67.475,157.215
30.994,32.718,43.151,51.759,63.752,22.623,76.211,52.813,59.061,45.769,60.942,28.949,42.82,40.024,55.059,45.772,62.875,35.39,53.407,78.341,145.09068
47.13,49.558,59.867,40.514,56.657,37.716,42.207,50.599,52.139,52.186,68.098,54.813,68.736,60.842,40.537,54.12,62.065,42.233,35.224,45.909,153.57668
33.315,40.939,45.61,30.193,50.602,59.919,73.995,61.73,64.991,43.324,42.64,51.991,43.317,33.63,71.3,35.476,40.052,50.869,56.863,55.02,146.8104
68.593,42.823,47.619,30.659,56.059,54.513,51.568,66.107,46.122,36.908,53.473,60.058,51.639,51.249,45.21,50.712,53.518,74.973,49.514,37.227,149.13968
26.683,48.733,45.002,26.662,47.128,58.591,61.137,59.493,67.237,45.101,54.905,48.836,63.306,36.979,57.877,47.971,44.317,33.154,34.647,57.134,148.31576
63.947,39.262,39.173,33.031,65.421,45.686,43.831,89.555,34.898,44.345,60.383,51.501,51.39,63.241,36.111,46.281,49.355,51.112,55.371,39.274,172.56642
64.808,38.376,66.662,48.841,35.575,41.059,40.125,62.761,37.568,65.299,50.196,56.66,53.691,64.327,57.61,31.276,32.764,40.997,61.271,45.428,148.13476
65.292,51.541,34.777,41.553,61.16,53.373,63.258,56.544,41.525,47.138,53.766,52.595,24.917,46.202,72.227,33.746,36.963,68.621,79.99,33.633,155.9597
40.943,50.441,57.322,50.225,45.338,46.47,38.197,59.411,47.695,43.481,54.889,45.987,55.769,42.595,52.741,43.087,53.859,56.91,50.467,39.159,147.72562
36.211,41.736,41.068,39.732,64.427,49.498,48.655,66.108,69.75,24.594,68.76,29.908,73.082,71.389,45.383,65.512,52.448,43.233,45.985,50.338,147.54136
49.193,35.14,29.203,53.751,47.768,51.382,70.139,52.715,57.749,50.784,60,51.158,43.198,48.594,55.706,37.938,49.924,62.559,63.708,69.613,147.3341
69.123,45.132,45.224,52.394,56.5,49.261,63.114,59.118,33.354,39.681,51.76,59.409,44.203,59.165,74.97,36.162,36.506,66.99,79.402,42.09,157.27926
39.255,54.925,50.093,42.42,42.826,49.335,53.356,55.047,49.642,47.441,39.08,50.835,28.553,55.472,67.908,33.38,30.212,44.343,74.119,40.272,152.86218
54.091,33.282,58.183,48.316,55.037,56.441,38.818,54.945,48.864,36.24,42.498,45.744,62.026,31.238,58.264,43.516,60.401,50.395,54.024,48.06,133.41308
46.504,35.798,29.277,56.038,61.919,40.692,38.834,34.859,61.82,70.902,57.46,41.982,31.968,61.118,37.892,55.293,73.631,47.385,50.247,59.721,165.45674
33.405,31.96,36.44,52.964,58.65,50.047,65.661,60.308,59.216,49.607,43.661,52.282,43.304,64.489,53.639,45.242,49.029,22.349,59.643,50.258,148.38932
71.5,44.925,53.535,50.531,45.615,48.648,58.231,51.794,43.073,57.19,38.628,43.707,72.292,30.649,68.059,53.433,61.217,55.063,45.444,41.728,153.92402
56.564,53.331,44.686,46.43,44.858,48.083,49.994,54.387,38.798,49.809,53.235,45.847,31.15,46.833,54.045,35.066,48.505,64.739,72.76,41.715,154.78176
43.612,31.496,44.598,51.846,48.605,58.38,61.904,52.659,74.863,37.743,52.871,61.335,59.869,44.904,72.209,55.117,59.385,39.638,31.596,57.093,148.75296
37.682,50.89,59.642,42.057,26.63,31.544,34.029,55.072,40.66,50.799,47.077,44.888,46.939,27.73,63.308,35.454,49.798,29.234,48.834,38.782,145.2639
40.047,56.172,54.371,42.98,50.614,49.849,55.203,61.025,52.852,51.505,42.719,46.702,38.495,53.723,55.372,32.413,42.65,56.271,61.658,49.843,154.36366
35.735,40.439,36.245,50.664,59.83,43.561,54.287,50.3,47.829,39.418,62.716,47.684,37.316,38.511,61.61,47.665,60.751,40.454,50.814,72.828,146.45766
57.45,45.537,32.167,28.213,55.912,64.538,66.592,57.517,60.081,46.018,51.633,50.045,45.363,29.844,60.882,58.847,50.852,59.828,45.305,58.039,138.66084
27.493,48.765,43.191,52.07,27.312,41.936,43.948,36.617,68.937,53.545,58.088,46.502,30.842,39.525,62.575,36.125,53.513,31.121,46.019,55.358,147.08608
79.046,47.981,33.155,46.999,64.111,37.427,72.393,76.852,24.658,46.47,43.884,54.218,37.354,45.135,55.767,55.661,50.068,64.082,65.149,46.751,154.51054
48.961,25.762,51.713,57.885,45.916,42.987,56.524,46.61,64.637,47.689,55.247,53.258,54.26,50.268,45.522,50.484,61.96,30.861,45.497,58.071,141.13324
44.524,55.87,47.663,49.063,27.339,26.849,44.354,38.784,48.714,58.98,60.404,40.713,42.939,44.728,44.672,53.91,65.599,42.775,38.006,58.626,148.33516
59.597,50.943,61.368,24.515,53.539,50.674,63.225,91.22,46.363,43.809,49.514,55.107,82.681,58.16,50.853,37.681,31.183,51.325,59.414,42.254,166.32058
68.001,43.387,51.081,38.701,64.133,62.075,59.87,59.205,44.276,37.502,55.103,42.888,54.226,31.562,47.742,59.111,65.998,61.35,48.354,59.379,144.0939
65.013,29.134,39.46,51.162,69.56,54.206,75.379,71.814,53.301,28.293,58.372,54.573,49.859,62.642,61.645,59.053,42.397,62.089,62.452,54.185,161.59984
41.27,45.442,31.284,40.461,57.62,60.62,62.656,49.285,71.237,31.276,64.419,58.376,43.249,29.564,57.912,43.756,54.515,57.673,33.42,46.762,149.25016
28.874,75.351,60.238,36.595,33.063,41.707,28.255,44.366,40.01,51.726,46.572,35.2,18.248,32.696,70.939,29.125,47.342,39.532,62.607,37.278,147.961
41.056,58.382,76.042,20.037,45.462,60.543,29.844,61.462,57.656,57.538,30.628,57.634,73.786,42.501,49.635,34.415,15.713,47.464,49.353,43.776,141.51868
48.486,55.812,68.592,23.394,52.9,61.546,22.872,45.688,56.383,31.866,42.03,43.592,59.158,25.529,62.559,54.576,52.4,43.62,29.157,34.618,143.88696
51.956,24.622,59.077,49.373,58.358,47.739,48.404,69.117,38.067,38.644,39.055,40.182,60.184,56.758,64.179,39.417,43.183,24.191,71.175,46.438,147.08068
44.403,41.057,30.126,58.499,57.683,36.951,52.207,37.531,35.91,50.562,69.659,56.845,44.868,66.955,54.569,42.707,72.913,56.456,53.903,34.914,167.5801
55.147,44.53,55.835,52.575,38.458,32.434,48.926,43.387,30.395,38.793,34.119,44.863,42.786,54.849,52.514,44.55,65.934,48.211,74.994,43.544,159.14142
57.58,37.429,81.16,70.316,45.092,45.397,17.402,58.029,23.767,80.464,26.688,31.006,37.028,69.271,34.375,28.485,70.325,44.313,75.384,44.638,160.67318
52.445,32.366,59.331,50.633,63.423,57.071,62.785,74.113,51.08,37.016,55.447,38.554,60.215,64.412,45.863,43.935,51.795,50.135,73.607,52.401,154.33636
31.82,28.465,45.525,43.121,42.103,49.634,51.645,46.98,57.355,62.275,50.173,54.123,57.646,48.224,55.419,45.471,60.865,39.111,39.244,58.25,147.88632
63.082,30.695,49.673,46.918,59.618,56.314,50.618,55.11,55.557,49.481,49.114,57.461,68.513,45.754,51.105,36.67,56.553,52.861,43.852,51.809,149.38058
35.908,46.35,46.005,26.786,46.841,59.297,48.277,42.26,68.298,38.365,64.419,43.674,52.532,20.176,75.307,53.185,65.622,46.482,33.045,57.69,149.33056
24.534,52.085,60.475,63.045,45.286,31.609,62.275,51.712,52.382,50.958,40.283,54.125,40.331,69.418,52.432,36.438,32.12,20.125,66.419,38.726,138.51956
43.521,54.751,40.06,39.682,65.142,56.494,45.814,79.386,50.381,50.818,56.697,40.869,50.83,66.957,41.624,47.155,53.724,60.473,47.739,41.92,163.05614
43.892,39.552,79.977,58.993,55.123,54.83,32.925,43.497,64.495,59.352,33.778,34.171,73.403,54.48,47.641,50.927,50.15,23.533,45.409,60.956,152.02878
49.74,29.987,34.718,43.369,73.677,50.386,59.982,63.705,53.345,41.598,56.693,41.542,42.849,75.321,49.916,41.305,44.273,53.197,78.205,48.654,160.1462
37.9,46.394,69.487,62.881,43.352,57.255,29.177,54.746,37.381,95.32,27.075,43.668,28.821,67.059,33.633,27.299,61.921,38.12,59.977,51.655,166.34936
43.087,55.465,30.903,31.666,58.511,52.243,66.968,71.456,54.755,36.561,60.881,54.742,49.488,53.321,57.098,45.245,39.502,48.361,65.62,35.756,152.3928
54.828,71.545,62.727,31.745,55.707,58.787,50.332,57.052,52.617,65.539,44.682,40.628,66.86,48.258,57.121,38.495,43.53,60.284,47.082,40.701,138.74538
30.605,48.816,44.682,30.455,51.833,31.278,59.793,73.615,52.665,62.716,59.593,54.825,49.818,64.277,49.944,37.376,32.374,34.363,51.331,52.996,152.51178
49.79,50.638,33.267,44.031,57.311,39.064,63.685,57.626,47.813,35.864,60.585,58.44,39.227,52.755,65.046,45.239,46.266,62.836,64.598,32.842,149.82616
62.792,50,40.858,29.949,52.226,53.457,44.847,53.771,26.066,68.613,44.537,40.184,47.326,44.633,66.067,30.615,43.368,52.914,68.134,46.781,148.04518
64.162,53.295,58.589,23.499,31.184,75.144,40.411,49.674,47.443,65.632,22.663,55.211,46.242,37.445,75.887,40.232,33.137,49.049,53.604,33.901,156.96688
41.414,51.311,73.445,40.303,39.3,56.906,13.482,39.246,45.225,71.851,33.656,46.85,71.746,41.974,54.804,55.41,63.87,23.479,32.002,46.777,136.82764
34.507,41.849,55.849,53.912,42.607,41.677,45.539,57.901,48.168,59.807,32.951,41.377,34.216,57.452,62.081,37.171,59.792,44.547,59.485,52.186,154.919
44.412,49.818,43.329,43.648,34.291,55.537,56.109,54.076,64.683,37.251,61.82,55.838,43.512,46.778,57.963,35.7,42.392,49.023,58.156,33.5,148.5578
46.216,63.493,56.962,33.802,48.737,61.637,37.054,56.735,60.696,48.539,46.798,50.244,64.946,27.232,66.964,53.721,46.881,52.066,27.412,24.374,146.36402
49.58,45.187,49.968,44.555,50.723,52.491,49.181,49.237,60.368,28.887,54.285,46.907,59.199,34.354,48.239,44.727,53.661,44.693,43.323,52.027,146.33906
69.771,30.401,44.499,59.125,45.812,28.759,46.027,40.358,55.582,49.467,56.117,46.392,53.279,61.398,26.532,67.902,66.117,36.6,55.288,48.919,143.96544
54.838,38.884,45.721,45.469,58.557,51.352,60.5,62.76,51.639,36.565,42.257,56.255,53.654,57.675,54.999,40.911,37.52,54.864,69.23,48.027,147.47832
66.111,27.409,25.088,36.966,50.75,57.017,60.587,57.504,55.544,57.163,50.171,60.785,52.631,59.1,59.992,48.465,58.487,58.938,57.157,51.077,161.37206
31.291,67.563,77.558,47.845,36.86,39.794,40.909,62.924,43.286,58.942,31.265,46.951,38.398,54.323,53.594,41.7,33.575,37.79,66.082,44.24,153.55312
63.522,52.445,63.055,31.863,57.262,71.512,41.892,54.363,61.374,35.986,45.552,46.916,63.191,38.525,48.051,52.048,40.153,54.417,53.997,47.439,150.51234
56.013,42.002,46.609,51.913,43.101,44.246,61.712,55.757,41.58,48.233,52.404,54.256,47.944,60.735,55.009,55.934,42.857,39.687,60.804,58.825,148.95412
55.942,48.052,48.807,25.629,59.924,68.148,53.058,53.385,58.457,27.903,48.837,52.319,53.816,35.527,71.155,40.269,37.333,82.294,60.637,46.336,158.01534
23.759,45.011,35.102,57.965,42.835,29.82,62.698,59.618,46.757,50.602,60.662,56.711,33.856,53.725,56.397,44.193,63.647,30.183,50.768,40.975,147.60374
61.125,41.113,59.061,25.056,36.227,39.242,42.618,47.937,59.951,31.105,77.28,45.014,64.543,29.03,48.782,50.273,49.886,44.444,38.792,63.213,146.56466
66.143,42.63,54.148,30.683,43.831,67.551,51.432,69.244,57.176,43.596,46.6,51.39,61.322,43.998,66.75,49.678,35.237,63.727,57.275,43.184,145.98804
32.249,52.079,65.037,51.038,46.807,47.033,57.755,52.903,45.771,21.975,45.566,39.663,42.016,30.929,79.447,44.437,61.159,36.711,47.192,46.52,157.1706
44.693,53.898,64.893,59.673,63.194,48.826,38.171,58.986,41.642,65.087,37.435,49.188,34.18,70.519,34.295,47.766,56.127,38.241,59.55,34.798,145.07764
48.686,45.946,38.345,33.219,65.191,58.228,46.927,57.961,61.814,36.758,73.965,37.097,52.614,52.466,53.771,45.107,55.62,54.21,53.428,55.672,154.47722
62.588,50.569,41.732,40.262,63.033,52.7,71.023,50.181,46.828,37.238,51.514,60.4,66.683,34.627,65.45,55.406,54.875,55.69,41.192,49.863,148.01416
68.519,27.731,56.131,37.529,45.03,36.605,38.211,69.882,41.176,43.6,57.654,47.227,65.343,53.174,42.389,39.049,58.105,55.365,59.013,53.986,165.16048
53.291,49.726,47.229,34.712,51.328,58.836,62.406,57.389,48.139,45.778,39.24,52.087,43.306,39.738,72.832,32.265,35.039,60.548,64.36,41.857,152.72756
61.12,36.005,46.922,38.952,63.051,52.955,55.579,66.388,52.912,22.615,47.545,40.398,53.881,53.297,49.018,37.121,48.326,68.836,78.021,47.659,144.65664
47.584,29.879,46.611,51.518,63.366,53.457,66.36,56.933,55.251,34.561,47.09,60.441,52.247,57.709,53.69,53.172,46.682,41.333,56.283,50.403,146.69276
33.801,32.111,39.965,61.325,69.793,42.643,55.26,51.032,62.919,60.399,52.096,46.363,43.819,47.486,38.802,55.116,78.913,32.964,33.576,60.99,149.41666
48.308,49.236,68.391,42.764,44.213,50.888,56.105,63.85,44.574,38.376,55.039,51.293,66.508,45.708,44.805,42.899,56.063,58.955,44.8,56.066,152.76032
36.716,40.363,41.314,44.515,68.24,54.813,59.092,55.667,60.582,21.069,54.332,42.7,50.598,39.201,57.266,44.922,57.128,39.7,49.668,51.609,156.1807
42.347,60.056,52.673,37.656,45.452,41.55,53.779,58.126,52.817,65.442,52.234,60.156,60.597,61.631,40.581,31.708,45.167,20.004,47.244,35.946,139.20326
25.073,47.771,55.838,43.049,56.53,57.469,38.955,54.978,64.268,48.444,52.764,38.03,43.078,62.308,47.412,39.282,43.618,43.339,57.757,51.659,149.12058
62.984,35.775,38.658,34.972,35.639,54.882,47.221,63.53,46.412,64.399,46.53,54.381,39.648,49.609,66.514,35.087,40.104,52.949,67.484,48.405,164.91016
38.108,47.542,50.347,51.024,49.144,40.891,59.568,71.722,43.545,43.689,53.634,53.414,46.446,54.078,57.819,27.644,46.399,53.027,65.761,45.996,148.79242
48.581,39.563,58.028,58.617,46.238,34.941,64.052,57.799,48.831,44.666,49.062,72.867,57.592,60.654,55.174,41.042,43.165,34.358,49.921,31.546,150.13954
38.631,53.933,64.324,49.555,45.792,46.699,45.524,39.737,42.593,23.351,62.916,51.779,46.902,32.879,45.551,48.32,58.822,51.031,51.082,43.493,136.2598
42.711,56.147,55.806,50.995,58.984,46.223,56.719,47.383,43.785,49.955,53.395,42.578,52.856,53.773,59.392,57.905,59.887,54.626,45.621,52.516,143.0377
42.957,59.341,60.005,34.781,43.336,53.585,45.563,51.591,47.878,46.518,43.833,57.967,38.043,56.553,52.119,39.235,35.043,57.155,63.822,39.298,160.28452
50.611,32.814,62.892,68.139,31.489,25.697,15.982,48.92,40.129,62.858,53.835,25.841,40.983,53.535,14.873,57.158,83.823,28.781,55.876,57.978,147.49866
29.543,49.753,48.682,54.083,48.875,51.651,49.697,52.281,49.693,46.366,39.564,39.124,30.801,56.753,56.429,36.993,43.477,40.658,70.881,43.225,146.73218
40.436,33.454,31.965,47.17,63.205,62.541,63.311,58.14,64.481,36.211,50.373,39.267,33.412,62.581,53.753,50.31,54.63,49.394,59.21,71.439,158.74684
